trial_index,obs_id,obs_global_index,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,candidate_count,topK_default,top1_same_flag,topK_order_same_flag,topK_set_same_flag,topK_jaccard,topK_miss_count,topK_miss_rate,selected_candidate_same_flag,score_rank_spearman,score_rank_kendall_if_easy,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_margin_bin,argmax_changed_flag,score_gap_sign_flip_flag,reliable_margin_flag,reliable_top1_same_flag,reliable_topK_same_flag,candidate_score_max_abs_diff,candidate_score_p95_abs_diff,candidate_score_rel_l2_error,same_policy_flag,same_estimate_flag,same_confidence_flag,same_fallback_flag,boundary_state_same_flag,false_high_rate_if_available,boundary_missed_rate_if_available,az_rmse_gap_if_available,el_rmse_gap_if_available,W_scale,Gcache_scale,Z_scale,Rz_scale,score_scale,W_clip_rate,Gcache_clip_rate,Z_clip_rate,Rz_clip_rate,score_clip_rate,max_clip_rate,max_overflow_rate,W_relative_error,Gcache_relative_error,Z_relative_error,Rz_relative_error,score_relative_error
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999818892,NaN,425.377914938639,425.390625,0.0014943902601656,0.00149443567666154,0.0127100613608491,2.98794575705288e-05,reliable,0,0,1,1,1,0.991597942251246,0.102535550337052,8.46268687757421e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,combined_int16,7353,10,1,1,1,1,0,0,1,0.999999974946659,NaN,425.377914938639,426.304483591375,0.0014943902601656,0.00149764655541286,0.926568652736023,0.00217822463319395,reliable,0,0,1,1,1,23.0472485916835,5.09514040036447,3.40553183307872e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.00130153316626236,2.78663245767269,4.35004575093258,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,2.99764221088278e-05,5.13451884566275e-05,1.5664073914801e-05
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,combined_int18,7353,10,1,1,1,1,0,0,1,0.99999999408379,NaN,425.377914938639,425.206139330752,0.0014943902601656,0.00149378607913629,0.171775607886957,0.000403818820522771,reliable,0,0,1,1,1,5.48765115047718,1.26251168079034,8.38295786788813e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.00032537583212475,0.696639471827371,1.08748373230371,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,7.45449354323642e-06,1.29252185880513e-05,3.95491931314637e-06
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,combined_int24,7353,10,1,1,1,1,0,0,1,0.999999999969815,NaN,425.377914938639,425.37293691482,0.0014943902601656,0.00149437267269098,0.00497802381869406,1.17025911404266e-05,reliable,0,0,1,1,1,0.162333586398745,0.0220554148545489,1.4733493016982e-07,1,1,1,1,1,NaN,NaN,0,0,3.99702173035428e-09,4.8111164869768e-06,5.08395917147399e-06,0.0108849042484724,0.0169918086168736,0,0,0,0,0,0,0,7.42029538126525e-08,1.2062533238579e-07,1.16354726169763e-07,1.95996305295712e-07,6.17884162423776e-08
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,mixed_Z16_G24_Rz24,7353,10,1,1,1,1,0,0,1,0.999999999185012,NaN,425.377914938639,425.340097572218,0.0014943902601656,0.00149425310684897,0.0378173664212227,8.89029850707643e-05,reliable,0,0,1,1,1,0.638901924932725,0.504986268977518,3.4643976612979e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00130153311084445,0.0108849512159563,0.0169918543293475,0,0,0,0,0,0,0,0,1.20552980091729e-07,2.99210095969198e-05,2.20474502838909e-07,6.16285454082047e-08
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,combined_int14,7353,10,1,1,1,1,0,0,1,0.999999863263091,NaN,425.377914938639,435.056578680029,0.0014943902601656,0.00152839762792684,9.67866374138976,0.0227530941346259,reliable,0,0,1,1,1,79.362057511491,19.6425097378378,0.000132650694088082,1,1,1,1,1,NaN,NaN,0,0,4.09344945261897e-06,0.00492718452979009,0.0052066123225701,11.1474692693914,17.4022631472016,0,0,0,0,0,0,0,7.59786814574564e-05,0.000125043022251653,0.000115254228682374,0.000175048323317581,6.30013025186913e-05
9,cp00p00_hard_phase_t0003,9,1,2,chunk_pilot_tps3,hard_phase,0,3,W_int18_G24_Z16,7353,10,1,1,1,1,0,0,1,0.999999999154827,NaN,425.377914938639,425.357108257944,0.0014943902601656,0.0014943128897664,0.0208066806953866,4.8913401388946e-05,reliable,0,0,1,1,1,0.687285708816489,0.531763968348969,3.57891322997214e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,4.81111658991996e-06,0.00130153311845525,NaN,0.0169918550816101,0,0,0,0,0,0,0,4.75555370558934e-06,1.21162671873752e-07,2.99178290384267e-05,0,6.10862130635521e-08
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,double_baseline,7353,10,1,1,1,1,0,0,1,1,NaN,28.3834320144088,28.3834320144088,0.000135331374056282,0.000135331374056282,0,0,weak_margin,0,0,0,0,0,0,0,0,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999607598,NaN,28.3834320144088,28.3984375,0.000135331374056282,0.000135402945943456,0.0150054855912458,0.000528670584432085,weak_margin,0,0,0,0,0,0.872476017757435,0.0672585802749381,7.37474823794147e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,combined_int16,7353,10,1,1,1,1,0,0,1,0.999999972773357,NaN,28.3834320144088,28.8071221900755,0.000135331374056282,0.000137352155665769,0.423690175666707,0.0149273764868048,weak_margin,0,0,0,0,0,19.6880056632508,4.03738442764006,3.35823948900268e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.0011783543686646,2.83053947435328,3.200791354453,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,3.14806173002734e-05,6.9002290762892e-05,1.44681576168038e-05
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,combined_int18,7353,10,1,1,1,1,0,0,1,0.999999994959147,NaN,28.3834320144088,28.0063770450361,0.000135331374056282,0.000133533251687285,0.377054969372693,0.0132843332399437,weak_margin,0,0,0,0,0,4.8054187736052,0.986888680956326,8.00552244528554e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.000294581774625798,0.707617452667337,0.800182201286763,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,7.92888660438433e-06,1.78644930128674e-05,3.54513059687729e-06
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,combined_int24,7353,10,1,1,1,1,0,0,1,0.999999999909446,NaN,28.3834320144088,28.3812289726047,0.000135331374056282,0.00013532086902944,0.00220304180402309,7.76171747977736e-05,weak_margin,0,0,0,0,0,0.0814015627693152,0.0157192320912145,1.32167079140354e-07,1,1,1,1,1,NaN,NaN,0,0,3.99702173035428e-09,4.8111164869768e-06,4.60280520636193e-06,0.0110564372612203,0.012502744040794,0,0,0,0,0,0,0,7.42029538126525e-08,1.2062533238579e-07,1.21615800748269e-07,3.00661945459095e-07,5.59497014803664e-08
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,mixed_Z16_G24_Rz24,7353,10,1,1,1,1,0,0,1,0.999999999396305,NaN,28.3834320144088,28.3687180302659,0.000135331374056282,0.000135261248248528,0.0147139841428725,0.000518400457541674,weak_margin,0,0,0,0,0,0.301147891448636,0.217075553831819,1.53219769055731e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00117835395247698,0.0110564468199912,0.012502740427616,0,0,0,0,0,0,0,0,1.20552980091729e-07,3.1469021643959e-05,3.04993121694374e-07,5.59083901328394e-08
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,combined_int14,7353,10,1,1,1,1,0,0,1,0.999999860003138,NaN,28.3834320144088,25.6092083612893,0.000135331374056282,0.000122100122100092,2.77422365311941,0.0977409515421208,weak_margin,0,0,0,0,0,98.0717475114579,17.3210163929252,0.000142747612980532,1,1,1,1,1,NaN,NaN,0,0,4.09344945261897e-06,0.00492718452979009,0.00471384242505143,11.3231108123499,12.8046041806478,0,0,0,0,0,0,0,7.59786814574564e-05,0.000125043022251653,0.00012479509994462,0.00028177118117105,5.70083469013156e-05
11,cp00p00_weak_secondary_t0002,11,1,2,chunk_pilot_tps3,weak_secondary,0,2,W_int18_G24_Z16,7353,10,1,1,1,1,0,0,1,0.99999999942649,NaN,28.3834320144088,28.3687258835562,0.000135331374056282,0.000135261248248467,0.0147061308525736,0.000518123771822521,weak_margin,0,0,0,0,0,0.272321163865854,0.192027270457402,1.3771991629245e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,4.81111658991996e-06,0.00117835406909323,NaN,0.0125027438887457,0,0,0,0,0,0,0,4.75555370558934e-06,1.21162671873752e-07,3.14562800652076e-05,0,5.62314677913844e-08
