route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,degraded_rate,single_subarray_two_peak_rate,single_subarray_best_tol_rate,aggregation_peak_loss_rate
avg_spectrum_forward,28,38,50.625000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.158421053,0.720000000,0.760000000
avg_spectrum_forward,28,38,50.625000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.231052632,0.840000000,0.960000000
avg_spectrum_forward,28,38,50.625000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.252105263,0.960000000,1.000000000
avg_spectrum_forward,28,38,50.625000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.003157895,0.040000000,0.040000000
avg_spectrum_forward,28,38,50.625000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.060000000,0.060000000
avg_spectrum_forward,28,38,50.625000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.080000000,0.080000000
avg_spectrum_forward,32,34,58.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.092941176,0.340000000,0.420000000
avg_spectrum_forward,32,34,58.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.119411765,0.300000000,0.600000000
avg_spectrum_forward,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
avg_spectrum_forward,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
avg_spectrum_forward,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_spectrum_forward,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
min_den_forward,24,42,43.125000000,7,0.376822064,24,0.940000000,0.920000000,0.840000000,0.068089226,47,1.940000000,0.060000000,0.232380952,0.920000000,0.000000000
min_den_forward,24,42,43.125000000,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.067345125,50,2.000000000,0.000000000,0.272857143,1.000000000,0.000000000
min_den_forward,24,42,43.125000000,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.067513545,50,2.000000000,0.000000000,0.284761905,1.000000000,0.000000000
min_den_forward,24,42,43.125000000,10,0.263775445,24,0.080000000,0.040000000,0.020000000,0.103270348,4,1.080000000,0.920000000,0.010476190,0.060000000,0.000000000
min_den_forward,24,42,43.125000000,10,0.263775445,28,0.160000000,0.160000000,0.100000000,0.056977896,8,1.160000000,0.840000000,0.017142857,0.160000000,0.000000000
min_den_forward,24,42,43.125000000,10,0.263775445,30,0.280000000,0.280000000,0.140000000,0.066097216,14,1.280000000,0.720000000,0.031904762,0.280000000,0.000000000
min_den_forward,28,38,50.625000000,7,0.376822064,24,0.760000000,0.720000000,0.660000000,0.078157541,38,1.760000000,0.240000000,0.158421053,0.720000000,0.000000000
min_den_forward,28,38,50.625000000,7,0.376822064,28,0.960000000,0.840000000,0.820000000,0.083605135,48,1.960000000,0.040000000,0.231052632,0.840000000,0.000000000
min_den_forward,28,38,50.625000000,7,0.376822064,30,1.000000000,0.960000000,0.900000000,0.081789949,50,2.000000000,0.000000000,0.252105263,0.960000000,0.000000000
min_den_forward,28,38,50.625000000,10,0.263775445,24,0.040000000,0.040000000,0.020000000,0.050494082,2,1.040000000,0.960000000,0.003157895,0.040000000,0.000000000
min_den_forward,28,38,50.625000000,10,0.263775445,28,0.060000000,0.060000000,0.040000000,0.071406598,3,1.060000000,0.940000000,0.007368421,0.060000000,0.000000000
min_den_forward,28,38,50.625000000,10,0.263775445,30,0.080000000,0.080000000,0.000000000,0.075079370,4,1.080000000,0.920000000,0.007368421,0.080000000,0.000000000
min_den_forward,32,34,58.125000000,7,0.376822064,24,0.420000000,0.340000000,0.300000000,0.086143838,21,1.420000000,0.580000000,0.092941176,0.340000000,0.000000000
min_den_forward,32,34,58.125000000,7,0.376822064,28,0.600000000,0.300000000,0.260000000,0.097278542,30,1.600000000,0.400000000,0.119411765,0.300000000,0.000000000
min_den_forward,32,34,58.125000000,7,0.376822064,30,0.760000000,0.340000000,0.220000000,0.099348486,38,1.760000000,0.240000000,0.161176471,0.340000000,0.000000000
min_den_forward,32,34,58.125000000,10,0.263775445,24,0.020000000,0.020000000,0.000000000,0.062812535,1,1.020000000,0.980000000,0.001176471,0.020000000,0.000000000
min_den_forward,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
min_den_forward,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
median_den_forward,24,42,43.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.232380952,0.920000000,0.940000000
median_den_forward,24,42,43.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.272857143,1.000000000,1.000000000
median_den_forward,24,42,43.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.284761905,1.000000000,1.000000000
median_den_forward,24,42,43.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.010476190,0.060000000,0.080000000
median_den_forward,24,42,43.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.017142857,0.160000000,0.160000000
median_den_forward,24,42,43.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.031904762,0.280000000,0.280000000
median_den_forward,28,38,50.625000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.158421053,0.720000000,0.760000000
median_den_forward,28,38,50.625000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.231052632,0.840000000,0.960000000
median_den_forward,28,38,50.625000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.252105263,0.960000000,1.000000000
median_den_forward,28,38,50.625000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.003157895,0.040000000,0.040000000
median_den_forward,28,38,50.625000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.060000000,0.060000000
median_den_forward,28,38,50.625000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.080000000,0.080000000
median_den_forward,32,34,58.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.092941176,0.340000000,0.420000000
median_den_forward,32,34,58.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.119411765,0.300000000,0.600000000
median_den_forward,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
median_den_forward,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
median_den_forward,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
median_den_forward,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
trimmed_avg_den_forward,24,42,43.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.232380952,0.920000000,0.940000000
trimmed_avg_den_forward,24,42,43.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.272857143,1.000000000,1.000000000
trimmed_avg_den_forward,24,42,43.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.284761905,1.000000000,1.000000000
trimmed_avg_den_forward,24,42,43.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.010476190,0.060000000,0.080000000
trimmed_avg_den_forward,24,42,43.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.017142857,0.160000000,0.160000000
trimmed_avg_den_forward,24,42,43.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.031904762,0.280000000,0.280000000
trimmed_avg_den_forward,28,38,50.625000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.158421053,0.720000000,0.760000000
trimmed_avg_den_forward,28,38,50.625000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.231052632,0.840000000,0.960000000
trimmed_avg_den_forward,28,38,50.625000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.252105263,0.960000000,1.000000000
trimmed_avg_den_forward,28,38,50.625000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.003157895,0.040000000,0.040000000
trimmed_avg_den_forward,28,38,50.625000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.060000000,0.060000000
trimmed_avg_den_forward,28,38,50.625000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.080000000,0.080000000
trimmed_avg_den_forward,32,34,58.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.092941176,0.340000000,0.420000000
trimmed_avg_den_forward,32,34,58.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.119411765,0.300000000,0.600000000
trimmed_avg_den_forward,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
trimmed_avg_den_forward,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
trimmed_avg_den_forward,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
trimmed_avg_den_forward,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_den_fb,24,42,43.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.232380952,0.920000000,0.940000000
avg_den_fb,24,42,43.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.272857143,1.000000000,1.000000000
avg_den_fb,24,42,43.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.284761905,1.000000000,1.000000000
avg_den_fb,24,42,43.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.010476190,0.060000000,0.080000000
avg_den_fb,24,42,43.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.017142857,0.160000000,0.160000000
avg_den_fb,24,42,43.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.031904762,0.280000000,0.280000000
avg_den_fb,28,38,50.625000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.158421053,0.720000000,0.760000000
avg_den_fb,28,38,50.625000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.231052632,0.840000000,0.960000000
avg_den_fb,28,38,50.625000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.252105263,0.960000000,1.000000000
avg_den_fb,28,38,50.625000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.003157895,0.040000000,0.040000000
avg_den_fb,28,38,50.625000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.060000000,0.060000000
avg_den_fb,28,38,50.625000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.080000000,0.080000000
avg_den_fb,32,34,58.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.092941176,0.340000000,0.420000000
avg_den_fb,32,34,58.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.119411765,0.300000000,0.600000000
avg_den_fb,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
avg_den_fb,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
avg_den_fb,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_den_fb,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_spectrum_fb,24,42,43.125000000,7,0.376822064,24,0.060000000,0.000000000,0.000000000,0.162303094,3,1.060000000,0.940000000,0.232380952,0.920000000,0.880000000
avg_spectrum_fb,24,42,43.125000000,7,0.376822064,28,0.020000000,0.000000000,0.000000000,0.162495348,1,1.020000000,0.980000000,0.272857143,1.000000000,0.980000000
avg_spectrum_fb,24,42,43.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.284761905,1.000000000,1.000000000
avg_spectrum_fb,24,42,43.125000000,10,0.263775445,24,0.020000000,0.000000000,0.000000000,0.124340989,1,1.020000000,0.980000000,0.010476190,0.060000000,0.060000000
avg_spectrum_fb,24,42,43.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.017142857,0.160000000,0.160000000
avg_spectrum_fb,24,42,43.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.031904762,0.280000000,0.280000000
avg_spectrum_fb,28,38,50.625000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.158421053,0.720000000,0.760000000
avg_spectrum_fb,28,38,50.625000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.231052632,0.840000000,0.960000000
avg_spectrum_fb,28,38,50.625000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.252105263,0.960000000,1.000000000
avg_spectrum_fb,28,38,50.625000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.003157895,0.040000000,0.040000000
avg_spectrum_fb,28,38,50.625000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.060000000,0.060000000
avg_spectrum_fb,28,38,50.625000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.007368421,0.080000000,0.080000000
avg_spectrum_fb,32,34,58.125000000,7,0.376822064,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.092941176,0.340000000,0.420000000
avg_spectrum_fb,32,34,58.125000000,7,0.376822064,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.119411765,0.300000000,0.600000000
avg_spectrum_fb,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
avg_spectrum_fb,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
avg_spectrum_fb,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_spectrum_fb,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
min_den_fb,24,42,43.125000000,7,0.376822064,24,0.940000000,0.920000000,0.840000000,0.068089226,47,1.940000000,0.060000000,0.232380952,0.920000000,0.000000000
min_den_fb,24,42,43.125000000,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.067345125,50,2.000000000,0.000000000,0.272857143,1.000000000,0.000000000
min_den_fb,24,42,43.125000000,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.067513545,50,2.000000000,0.000000000,0.284761905,1.000000000,0.000000000
min_den_fb,24,42,43.125000000,10,0.263775445,24,0.080000000,0.040000000,0.020000000,0.103270348,4,1.080000000,0.920000000,0.010476190,0.060000000,0.000000000
min_den_fb,24,42,43.125000000,10,0.263775445,28,0.160000000,0.160000000,0.100000000,0.056977896,8,1.160000000,0.840000000,0.017142857,0.160000000,0.000000000
min_den_fb,24,42,43.125000000,10,0.263775445,30,0.280000000,0.280000000,0.140000000,0.066097216,14,1.280000000,0.720000000,0.031904762,0.280000000,0.000000000
min_den_fb,28,38,50.625000000,7,0.376822064,24,0.760000000,0.720000000,0.660000000,0.078157541,38,1.760000000,0.240000000,0.158421053,0.720000000,0.000000000
min_den_fb,28,38,50.625000000,7,0.376822064,28,0.960000000,0.840000000,0.820000000,0.083605135,48,1.960000000,0.040000000,0.231052632,0.840000000,0.000000000
min_den_fb,28,38,50.625000000,7,0.376822064,30,1.000000000,0.960000000,0.900000000,0.081789949,50,2.000000000,0.000000000,0.252105263,0.960000000,0.000000000
min_den_fb,28,38,50.625000000,10,0.263775445,24,0.040000000,0.040000000,0.020000000,0.050494082,2,1.040000000,0.960000000,0.003157895,0.040000000,0.000000000
min_den_fb,28,38,50.625000000,10,0.263775445,28,0.060000000,0.060000000,0.040000000,0.071406598,3,1.060000000,0.940000000,0.007368421,0.060000000,0.000000000
min_den_fb,28,38,50.625000000,10,0.263775445,30,0.080000000,0.080000000,0.000000000,0.075079370,4,1.080000000,0.920000000,0.007368421,0.080000000,0.000000000
min_den_fb,32,34,58.125000000,7,0.376822064,24,0.420000000,0.340000000,0.300000000,0.086143838,21,1.420000000,0.580000000,0.092941176,0.340000000,0.000000000
min_den_fb,32,34,58.125000000,7,0.376822064,28,0.600000000,0.300000000,0.260000000,0.097278542,30,1.600000000,0.400000000,0.119411765,0.300000000,0.000000000
min_den_fb,32,34,58.125000000,7,0.376822064,30,0.760000000,0.340000000,0.220000000,0.099348486,38,1.760000000,0.240000000,0.161176471,0.340000000,0.000000000
min_den_fb,32,34,58.125000000,10,0.263775445,24,0.020000000,0.020000000,0.000000000,0.062812535,1,1.020000000,0.980000000,0.001176471,0.020000000,0.000000000
min_den_fb,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
min_den_fb,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
