search_method,scenario_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,config_name,coarse_config_name,refine_config_name,sweep_phase,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,max_score_mean,cond_best_GHG_mean,n_trials,overall_joint_success_rate,overall_az_rmse_mean,overall_el_rmse_mean,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0111803398874991,0.0273861278752585,0,19629,131461,7353,12276,6.7056427870599,1,0,0,1,159524.031936011,2.25494094255844,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,18401.4,7.16365679416402,1,0,1
coarse_to_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0111803398874991,0.0595818764390646,0,18589.5,131461,7353,11236.5,7.07304161682922,1,0,0,1,96130.6071735223,2.74965438168986,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,18401.4,7.16365679416402,1,0,1
coarse_to_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0111803398874991,0.0234520787991173,0,17154,131461,7353,9801,7.66357700827795,1,0,0,1,195831.661691505,1.29208848286135,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,18401.4,7.16365679416402,1,0,1
coarse_to_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0111803398874991,0.0595818764390646,0,18589.5,131461,7353,11236.5,7.07304161682922,1,0,0,1,96329.4882488412,2.74965438168986,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,18401.4,7.16365679416402,1,0,1
full_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0269258240356711,0.0339116499156253,0,131461,131461,0,0,1,1,0,0,1,204688.661234837,1.31885274544957,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,131461,1,1,0,1
full_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0111803398874991,0.0273861278752585,0,131461,131461,0,0,1,1,0,0,1,159524.031936011,2.25494094255844,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,131461,1,1,0,1
full_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0111803398874991,0.0595818764390646,0,131461,131461,0,0,1,1,0,0,1,96130.6071735223,2.74965438168986,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,131461,1,1,0,1
full_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0111803398874991,0.0234520787991173,0,131461,131461,0,0,1,1,0,0,1,195831.661691505,1.29208848286135,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,131461,1,1,0,1
full_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0.2,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0111803398874991,0.0595818764390646,0,131461,131461,0,0,1,1,0,0,1,96329.4882488412,2.74965438168986,10,1,0.0366556110726745,0.0143294367171335,0.040782721893626,1,0,131461,1,1,0,1
coarse_to_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0.2,0.2,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0269258240356711,0.0339116499156255,0,17154,131461,7353,9801,7.66357700827795,1,0,0,1,205867.729908082,1.34002318000778,10,1,0.0246493354886681,0.0143294367171335,0.029209526876177,1,0,18941.5,7.0134321344736,1,0,1
