case_type,trial_index,scenario_name,quant_mode,metric_name,metric_value,topK_miss_count,argmax_changed_flag,score_gap_norm_baseline,score_gap_rel_error,max_clip_rate,note
max_topK_miss_count,33,strong_coherent,double_baseline,topK_miss_count,0,0,0,0.00117546334154964,0,0,see trial CSV for full fields
argmax_changed_largest_baseline_gap,393,weak_secondary,combined_int14,score_gap_norm_baseline,0.000635554410679907,0,1,0.000635554410679907,0.0389375144392873,0,see trial CSV for full fields
max_score_gap_rel_error,513,large_el_pair,combined_int14,score_gap_rel_error,0.0676141889809907,0,0,0.000457617125187385,0.0676141889809907,0,see trial CSV for full fields
policy_changed_sample,NaN,,,same_policy_flag,NaN,NaN,0,NaN,NaN,NaN,no matching sample
max_clip_or_overflow_sample,33,strong_coherent,double_baseline,max_clip_rate,0,0,0,0.00117546334154964,0,0,see trial CSV for full fields
