scenario_name,snr_db,mc,quant_mode,coeff_quant_kind,coeff_quant_bits,ywork_quant_kind,ywork_quant_bits,target_count,beta,rho,phase,pair_sep,true_az1,true_az2,true_el1,true_el2,rangeIdx,dopplerIdx,fd_hat,v_hat,derotation_mode,derotation_sign_used,coarse_peak_count,coarse_peak_sep_deg,second_peak_prominence,frontend_state,in_scope_shared_center_flag,out_of_scope_reason,selectedCenterAz,selectedCenterColumn,center_error_to_pair_center,center_error_to_strong_target,delta_theta1,delta_theta2,both_inside_R15,both_inside_R20,route_used,confidence_flag,success,false_high,boundary_missed,low_confidence,boundary_unreliable,az_est,el_est,az_est1,az_est2,el_est1,el_est2,output_count,runtime_sec,ywork_scale,ywork_rel_err,ywork_snr_quant_db,ywork_max_abs_err,ywork_clip_rate_real,ywork_clip_rate_imag,mean_steering_rel_err_aligned,max_steering_rel_err_aligned,min_steering_coherence,max_steering_phase_err,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag,scenario_class,route_agreement_vs_double_flag,confidence_agreement_vs_double_flag,double_confidence_group,quant_confidence_group,medium_or_above_double_flag,dangerous_confidence_upgrade,medium_to_high_upgrade,output_equivalent,output_equivalent_strict,output_equivalent_relaxed,route_changed_flag,confidence_changed_flag,success_gap_vs_double,az_est_diff_vs_double,el_est_diff_vs_double,output_count_diff_vs_double,trial_id,scenario_index,target_source,best_objective,second_objective,third_objective,objective_margin_abs,objective_margin_rel,best_pair_az1,best_pair_az2,second_pair_az1,second_pair_az2,best_second_pair_sep_diff,candidate_tie_flag,peak_count_margin,best_peak_value,second_peak_value,peak_prominence_ratio,peak_separation,peak_width,edge_peak_flag,peak_tie_flag,focused_power_best,focused_power_second,refocus_margin_abs,refocus_margin_rel,refocus_peak_width,refocus_el_hat,second_refocus_el,residual_norm,score_gap_ratio,route_score_margin,boundary_score,low_confidence_reason,boundary_unreliable_reason,confidence_upgrade_flag,confidence_downgrade_flag,margin_proxy,level2_peak_count,level2_peak_separation,level2_peak_prominence,level2_spectrum_width,level2_reliable_flag,level2_distance_to_threshold_min,refocus_enabled_flag,refocus_power_sharpness,refocus_lambda1_sharpness,stage_refocus_el_hat,stage_refocus_power_best,stage_refocus_power_second,stage_refocus_margin_abs,stage_refocus_margin_rel,stage_refocus_peak_width,refocus_rank1_residual_norm,refocus_rank1_score_gap_ratio,refocus_rank1_pair_sep_est,refocus_common_el_sharpness,refocus_common_el_proxy_flag,refocus_reliable_flag,refocus_distance_to_threshold_min,refocus_common_el_distance_to_threshold,rank1_enabled_flag,rank1_best_objective,rank1_second_objective,rank1_objective_margin_abs,rank1_objective_margin_rel,rank1_residual_norm,rank1_score_gap_ratio,rank1_pair_sep_est,rank1_valid_flag,rank1_boundary_flag,rank1_distance_to_threshold_min,music2d_enabled_flag,music2d_peak_count,music2d_peak_separation_az,music2d_peak_separation_el,music2d_peak_prominence,music2d_reliable_flag,music2d_distance_to_threshold_min,pairlocal_enabled_flag,pairlocal_residual_norm,pairlocal_score_gap_ratio,pairlocal_valid_flag,pairlocal_distance_to_threshold_min,boundary_unreliable_flag,boundary_reason,boundary_proxy_flag,boundary_score_if_any,dispatch_distance_to_threshold_min,low_confidence_flag_trace,low_confidence_reason_trace,final_decision_stage,covariance_trace,covariance_fro_norm,covariance_max_eig,noise_floor_est,ywork_power,template_norm_mean,rank1_objective_scale,residual_scale,score_gap_scale,double_route,quant_route,double_confidence,quant_confidence,route_flip_type,route_same_flag,confidence_same_flag,output_equivalent_flag,first_divergent_stage,first_divergent_metric,double_metric_value,quant_metric_value,threshold_value,double_distance_to_threshold,quant_distance_to_threshold,threshold_crossed_flag,metric_scale_ratio,near_threshold_double_flag,near_threshold_quant_flag
close_coherent_pair,16,19,double_baseline,double,NaN,double,NaN,2,1,1,0,0.263775444933353,-0.600637722466676,-0.336862277533324,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0113949154128048,single_peak_in_scope,1,,0,1,0.46875,0.600637722466672,-0.600637722466672,-0.336862277533328,1,1,boundary_unreliable,low,0,0,0,1,1,-1.34;-0.42,-0.000779395824;-0.000779395824,-1.34,-0.42,-0.000779395824497599,-0.000779395824497599,2,0.378446,2.85861462543594,0,Inf,0,0,0,0,0,1,0,0,0,0,core_in_scope,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,109,4,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,0.92,0.00272715574575933,0.02,0,0.15,1,0.0794726461713864,0.0795032472894522,0,126.775829062188,116.700618456044,10.0752106061434,0.0794726461713864,2,0,0,0.38,0.0794726461713864,1,0,0.00659192285766969,0.0596352822851524,1,0,0,0,0,0,0,0.38,0,0,0.525,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.00659192285766969,0.00659192285766969,1,boundary_unreliable,boundary,8438.19577665454,8240.31733525446,8240.23950592696,NaN,4.05682489262237,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
close_coherent_pair,16,19,y16_coeff24_all,fixed,24,fixed,16,2,1,1,0,0.263775444933353,-0.600637722466676,-0.336862277533324,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0113949154128048,single_peak_in_scope,1,,0,1,0.46875,0.600637722466672,-0.600637722466672,-0.336862277533328,1,1,common_el_refocus_power_rank1,medium,1,0,0,0,0,-0.58;-0.36,0;0,-0.58,-0.36,0,0,2,0.0565549,2.85861462543594,1.767630124787e-05,95.0521721119021,6.14727125247421e-05,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,core_in_scope,0,0,boundary,medium,0,0,0,0,0,0,1,1,1,0.76,0.000779395824497599,0,109,4,step89c_worst80,0,5.9225309465909e-08,9.49931390435676e-08,5.9225309465909e-08,266727081.64157,-0.58,-0.36,-0.54,-0.4,0.04,0,2,NaN,NaN,NaN,NaN,NaN,0,0,126.77583379793,116.700620078127,10.0752137198026,0.0794726677630195,2,0,-0.5,0,266727081.64157,0.0794726677630195,0.0794726677630195,ok,ok,1,0,0.0794726677630195,2,0.92,0.00272664926999609,0.02,0,0.15,1,0.0794726677630195,0.0795032645149757,0,126.77583379793,116.700620078127,10.0752137198026,0.0794726677630195,2,0,266727081.64157,0.22,0.0794726677630195,1,1,0.0065916529622562,0.0596355701735934,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.0065916529622562,0.0065916529622562,0,ok,refocus,8438.19605800445,8240.31760475702,8240.23977542737,NaN,4.05682502788676,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_pair_sep_est,0.38,0.22,0.263775444933353,0.440619311990974,0.165957240426278,1,0.578947368421053,0,0
close_coherent_pair,16,19,y32float_coeff24,fixed,24,float32,NaN,2,1,1,0,0.263775444933353,-0.600637722466676,-0.336862277533324,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0113949154128048,single_peak_in_scope,1,,0,1,0.46875,0.600637722466672,-0.600637722466672,-0.336862277533328,1,1,common_el_refocus_power_rank1,medium,1,0,0,0,0,-0.58;-0.36,0;0,-0.58,-0.36,0,0,2,0.0472762,2.85861462543594,2.4997003229364e-08,152.042241073729,1.31601644048943e-07,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,core_in_scope,0,0,boundary,medium,0,0,0,0,0,0,1,1,1,0.76,0.000779395824497599,0,109,4,step89c_worst80,0,2.56469722729914e-09,3.83323897640254e-08,2.56469722729914e-09,11550369.4771825,-0.58,-0.36,-0.54,-0.4,0.04,0,2,NaN,NaN,NaN,NaN,NaN,0,0,126.775829084488,116.70061847954,10.0752106049479,0.0794726461479768,2,0,-0.5,0,11550369.4771825,0.0794726461479768,0.0794726461479768,ok,ok,1,0,0.0794726461479768,2,0.92,0.00272686670873252,0.02,0,0.15,1,0.0794726461479768,0.0795032472782885,0,126.775829084488,116.70061847954,10.0752106049479,0.0794726461479768,2,0,11550369.4771825,0.22,0.0794726461479768,1,1,0.00659192315029047,0.0596352819730236,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.00659192315029047,0.00659192315029047,0,ok,refocus,8438.19577784192,8240.31733675421,8240.23950742697,NaN,4.05682489319325,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_pair_sep_est,0.38,0.22,0.263775444933353,0.440619311990974,0.165957240426278,1,0.578947368421053,0,0
close_coherent_pair,16,19,y16_coeff32float,float32,NaN,fixed,16,2,1,1,0,0.263775444933353,-0.600637722466676,-0.336862277533324,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0113949154128048,single_peak_in_scope,1,,0,1,0.46875,0.600637722466672,-0.600637722466672,-0.336862277533328,1,1,common_el_refocus_power_rank1,medium,1,0,0,0,0,-0.58;-0.36,0;0,-0.58,-0.36,0,0,2,0.05034,2.85861462543594,1.767630124787e-05,95.0521721119021,6.14727125247421e-05,0,0,2.18737293587305e-08,2.74648417956103e-08,0.999999999999999,4.67896372897521e-08,0,0,0,core_in_scope,0,0,boundary,medium,0,0,0,0,0,0,1,1,1,0.76,0.000779395824497599,0,109,4,step89c_worst80,0,2.10371689735644e-08,7.64440371868383e-08,2.10371689735644e-08,94742986.3502749,-0.58,-0.36,-0.66,-0.28,0.0800000000000001,0,2,NaN,NaN,NaN,NaN,NaN,0,0,126.77583379793,116.700620078127,10.0752137198026,0.0794726677630195,2,0,-0.5,0,94742986.3502749,0.0794726677630195,0.0794726677630195,ok,ok,1,0,0.0794726677630195,2,0.92,0.00272687287832888,0.02,0,0.15,1,0.0794726677630195,0.0795032645149757,0,126.77583379793,116.700620078127,10.0752137198026,0.0794726677630195,2,0,94742986.3502749,0.22,0.0794726677630195,1,1,0.0065916529622562,0.0596355701735934,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.0065916529622562,0.0065916529622562,0,ok,refocus,8438.19605800445,8240.31760475702,8240.23977542737,NaN,4.05682502788676,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_pair_sep_est,0.38,0.22,0.263775444933353,0.440619311990974,0.165957240426278,1,0.578947368421053,0,0
close_coherent_pair,16,19,float32_all,float32,NaN,float32,NaN,2,1,1,0,0.263775444933353,-0.600637722466676,-0.336862277533324,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0113949154128048,single_peak_in_scope,1,,0,1,0.46875,0.600637722466672,-0.600637722466672,-0.336862277533328,1,1,boundary_unreliable,low,0,0,0,1,1,-1.34;-0.42,-0.000779395824;-0.000779395824,-1.34,-0.42,-0.000779395824497599,-0.000779395824497599,2,0.3082346,2.85861462543594,2.4997003229364e-08,152.042241073729,1.31601644048943e-07,0,0,2.18737293587305e-08,2.74648417956103e-08,0.999999999999999,4.67896372897521e-08,0,0,0,core_in_scope,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,109,4,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,0.92,0.00272709033483671,0.02,0,0.15,1,0.0794726461479768,0.0795032472782885,0,126.775829084488,116.70061847954,10.0752106049479,0.0794726461479768,2,0,0,0.38,0.0794726461479768,1,0,0.00659192315029047,0.0596352819730236,1,0,0,0,0,0,0,0.38,0,0,0.525,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.00659192315029047,0.00659192315029047,1,boundary_unreliable,boundary,8438.19577784192,8240.31733675421,8240.23950742697,NaN,4.05682489319325,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
medium_beta_pair,8,20,double_baseline,double,NaN,double,NaN,2,0.5,1,0,0.8,-0.4,0.4,0,0,48,12,-3125,46.875,none,0,1,3.96,0.00923070135103653,single_peak_in_scope,1,,0,1,0,0.400000000000006,-0.400000000000006,0.400000000000006,1,1,boundary_unreliable,low,0,0,0,1,1,-1.24;-0.08,0.00329090006;0.00329090006,-1.24,-0.0800000000000001,0.00329090006213949,0.00329090006213949,2,0.2874382,2.88967604465574,0,Inf,0,0,0,0,0,1,0,0,0,0,boundary_scenario,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,860,29,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,1.16,0.00610853927157601,0.0399999999999998,0,0.45,1,0.0779439057685144,0.0784010855234858,0,66.2859874357782,61.1193986773109,5.16658875846722,0.0779439057685144,2,0,0,0.76,0.0779439057685144,1,0,0.0257011778935702,0.0392520769135252,1,0,0,0,0,0,0,0.76,0,0,0.05,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.0257011778935702,0.0257011778935702,1,boundary_unreliable,boundary,4924.17670994951,4309.46962349175,4308.02865527232,NaN,2.36739264901419,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
medium_beta_pair,8,20,y16_coeff24_all,fixed,24,fixed,16,2,0.5,1,0,0.8,-0.4,0.4,0,0,48,12,-3125,46.875,none,0,1,3.96,0.00923070135103653,single_peak_in_scope,1,,0,1,0,0.400000000000006,-0.400000000000006,0.400000000000006,1,1,common_el_refocus_power_rank1,medium,0,0,0,0,0,-0.52;0.24,0;0,-0.52,0.24,0,0,2,0.0425365,2.88967604465574,2.34053692512104e-05,92.613690058047,6.22142118758862e-05,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,boundary_scenario,0,0,boundary,medium,0,0,0,0,0,0,1,1,0,0.72,0.00329090006213949,0,860,29,step89c_worst80,0,1.56010483933484e-07,2.36842155838064e-07,1.56010483933484e-07,702608757.30873,-0.52,0.24,-0.5,0.22,0.02,0,2,NaN,NaN,NaN,NaN,NaN,0,0,66.2859863807249,61.1194028624123,5.1665835183126,0.0779438279553908,2,0,0.5,0,702608757.30873,0.0779438279553908,0.0779438279553908,ok,ok,1,0,0.0779438279553908,2,1.16,0.00610821043807312,0.0399999999999998,0,0.45,1,0.0779438279553908,0.0784009962308534,0,66.2859863807249,61.1194028624123,5.1665835183126,0.0779438279553908,2,0,702608757.30873,0.76,0.0779438279553908,1,1,0.0257021505576152,0.0392510394052105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.0257021505576152,0.0257021505576152,0,ok,refocus,4924.17626366155,4309.46961219158,4308.02864603551,NaN,2.36739243445267,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_score_gap_ratio,0,702608757.30873,0.002,1,351304378653.365,1,NaN,0,0
medium_beta_pair,8,20,y32float_coeff24,fixed,24,float32,NaN,2,0.5,1,0,0.8,-0.4,0.4,0,0,48,12,-3125,46.875,none,0,1,3.96,0.00923070135103653,single_peak_in_scope,1,,0,1,0,0.400000000000006,-0.400000000000006,0.400000000000006,1,1,boundary_unreliable,low,0,0,0,1,1,-1.24;-0.08,0.00329090006;0.00329090006,-1.24,-0.0800000000000001,0.00329090006213949,0.00329090006213949,2,0.2702624,2.88967604465574,2.47765283775836e-08,152.119190918103,1.28587301533978e-07,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,boundary_scenario,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,860,29,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,1.16,0.00610847099850804,0.0399999999999998,0,0.45,1,0.0779439057762772,0.0784010855269115,0,66.2859874675248,61.1193987060686,5.16658876145625,0.0779439057762772,2,0,0,0.76,0.0779439057762772,1,0,0.0257011777965353,0.039252077017029,1,0,0,0,0,0,0,0.76,0,0,0.05,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.0257011777965353,0.0257011777965353,1,boundary_unreliable,boundary,4924.17671213779,4309.46962548458,4308.02865726476,NaN,2.36739265006626,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
medium_beta_pair,8,20,y16_coeff32float,float32,NaN,fixed,16,2,0.5,1,0,0.8,-0.4,0.4,0,0,48,12,-3125,46.875,none,0,1,3.96,0.00923070135103653,single_peak_in_scope,1,,0,1,0,0.400000000000006,-0.400000000000006,0.400000000000006,1,1,common_el_refocus_power_rank1,medium,0,0,0,0,0,-0.52;0.24,0;0,-0.52,0.24,0,0,2,0.0406645,2.88967604465574,2.34053692512104e-05,92.613690058047,6.22142118758862e-05,0,0,2.18737293587305e-08,2.74648417956103e-08,0.999999999999999,4.67896372897521e-08,0,0,0,boundary_scenario,0,0,boundary,medium,0,0,0,0,0,0,1,1,0,0.72,0.00329090006213949,0,860,29,step89c_worst80,0,1.45449883832302e-07,2.36607582421386e-07,1.45449883832302e-07,655048042.628238,-0.52,0.24,-0.5,0.22,0.02,0,2,NaN,NaN,NaN,NaN,NaN,0,0,66.2859863807249,61.1194028624123,5.1665835183126,0.0779438279553908,2,0,0.5,0,655048042.628238,0.0779438279553908,0.0779438279553908,ok,ok,1,0,0.0779438279553908,2,1.16,0.00610826173778877,0.0399999999999998,0,0.45,1,0.0779438279553908,0.0784009962308534,0,66.2859863807249,61.1194028624123,5.1665835183126,0.0779438279553908,2,0,655048042.628238,0.76,0.0779438279553908,1,1,0.0257021505576152,0.0392510394052105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.0257021505576152,0.0257021505576152,0,ok,refocus,4924.17626366155,4309.46961219158,4308.02864603551,NaN,2.36739243445267,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_score_gap_ratio,0,655048042.628238,0.002,1,327524021313.119,1,NaN,0,0
medium_beta_pair,8,20,float32_all,float32,NaN,float32,NaN,2,0.5,1,0,0.8,-0.4,0.4,0,0,48,12,-3125,46.875,none,0,1,3.96,0.00923070135103653,single_peak_in_scope,1,,0,1,0,0.400000000000006,-0.400000000000006,0.400000000000006,1,1,boundary_unreliable,low,0,0,0,1,1,-1.24;-0.08,0.00329090006;0.00329090006,-1.24,-0.0800000000000001,0.00329090006213949,0.00329090006213949,2,0.2759382,2.88967604465574,2.47765283775836e-08,152.119190918103,1.28587301533978e-07,0,0,2.18737293587305e-08,2.74648417956103e-08,0.999999999999999,4.67896372897521e-08,0,0,0,boundary_scenario,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,860,29,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,1.16,0.00610852230370232,0.0399999999999998,0,0.45,1,0.0779439057762772,0.0784010855269115,0,66.2859874675248,61.1193987060686,5.16658876145625,0.0779439057762772,2,0,0,0.76,0.0779439057762772,1,0,0.0257011777965353,0.039252077017029,1,0,0,0,0,0,0,0.76,0,0,0.05,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.0257011777965353,0.0257011777965353,1,boundary_unreliable,boundary,4924.17671213779,4309.46962548458,4308.02865726476,NaN,2.36739265006626,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
close_coherent_pair,16,13,double_baseline,double,NaN,double,NaN,2,1,1,0,0.263775444933353,0.336862277533324,0.600637722466676,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0117164529716338,single_peak_in_scope,1,,0,1,-0.46875,-0.336862277533328,0.336862277533328,0.600637722466672,1,1,boundary_unreliable,low,0,0,0,1,1,0.42;1.34,-3.12966447e-06;-3.12966447e-06,0.42,1.34,-3.12966446912896e-06,-3.12966446912896e-06,2,0.2741873,2.83729834721871,0,Inf,0,0,0,0,0,1,0,0,0,0,core_in_scope,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,223,8,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,0.92,0.000863130684460351,0,0,0.15,1,0.0794954294193272,0.0796058679130218,0,126.754043875922,116.67767672737,10.0763671485527,0.0794954294193272,2,0,0,0.38,0.0794954294193272,1,0,0.00630713225840979,0.059939058924363,1,0,0,0,0,0,0,0.38,0,0,0.525,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.00630713225840979,0.00630713225840979,1,boundary_unreliable,boundary,8437.49839068536,8239.11297621171,8239.0346371585,NaN,4.05648961090643,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
close_coherent_pair,16,13,y16_coeff24_all,fixed,24,fixed,16,2,1,1,0,0.263775444933353,0.336862277533324,0.600637722466676,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0117164529716338,single_peak_in_scope,1,,0,1,-0.46875,-0.336862277533328,0.336862277533328,0.600637722466672,1,1,common_el_refocus_power_rank1,medium,1,0,0,0,0,0.28;0.66,0;0,0.28,0.66,0,0,2,0.0383955,2.83729834721871,1.75758082892432e-05,95.1016938638741,6.10775468431832e-05,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,core_in_scope,0,0,boundary,medium,0,0,0,0,0,0,1,1,1,0.68,3.12966446912896e-06,0,223,8,step89c_worst80,0,6.31237071835045e-08,9.54573761309741e-08,6.31237071835045e-08,284283904.149875,0.28,0.66,0.3,0.64,0.02,0,2,NaN,NaN,NaN,NaN,NaN,0,0,126.754049490155,116.677682272356,10.0763672177989,0.0794954264445927,2,0,0.5,0,284283904.149875,0.0794954264445927,0.0794954264445927,ok,ok,1,0,0.0794954264445927,2,0.92,0.000863035389978133,0,0,0.15,1,0.0794954264445927,0.0796058485388213,0,126.754049490155,116.677682272356,10.0763672177989,0.0794954264445927,2,0,284283904.149875,0.38,0.0794954264445927,1,1,0.00630716944259088,0.0599390192612365,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,ok,1,0.00630716944259088,0.00630716944259088,0,ok,refocus,8437.49878079266,8239.11339375606,8239.03505471145,NaN,4.05648979845801,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,0,0,0,refocus,refocus_rank1_score_gap_ratio,0,284283904.149875,0.002,1,142141952073.938,1,NaN,0,0
close_coherent_pair,16,13,y32float_coeff24,fixed,24,float32,NaN,2,1,1,0,0.263775444933353,0.336862277533324,0.600637722466676,0,0,48,12,-3125,46.875,none,0,1,3.9,0.0117164529716338,single_peak_in_scope,1,,0,1,-0.46875,-0.336862277533328,0.336862277533328,0.600637722466672,1,1,boundary_unreliable,low,0,0,0,1,1,0.42;1.34,-3.12966447e-06;-3.12966447e-06,0.42,1.34,-3.12966446912896e-06,-3.12966446912896e-06,2,0.2750952,2.83729834721871,2.4972823688515e-08,152.050646979959,1.31178996249931e-07,0,0,2.38190997359839e-07,6.16011433816925e-07,0.999999999999802,1.06315367203509e-06,0,0,0,core_in_scope,1,1,boundary,boundary,0,0,0,1,1,1,0,0,0,0,0,0,223,8,step89c_worst80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,boundary_unreliable,boundary_unreliable,0,0,NaN,2,0.92,0.000863050753936989,0,0,0.15,1,0.0794954293901613,0.07960586790919,0,126.754043846165,116.677676703675,10.0763671424903,0.0794954293901613,2,0,0,0.38,0.0794954293901613,1,0,0.00630713262298362,0.0599390585354842,1,0,0,0,0,0,0,0.38,0,0,0.525,1,1,NaN,NaN,0,0,NaN,0,NaN,NaN,0,NaN,1,boundary_unreliable,1,0.00630713262298362,0.00630713262298362,1,boundary_unreliable,boundary,8437.49838887736,8239.11297421717,8239.0346351638,NaN,4.05648961003721,1,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,boundary_unreliable,boundary_unreliable,low,low,boundary_unreliable->boundary_unreliable,1,1,1,none,,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
