case_type,trial_index,scenario_name,quant_mode,metric_name,metric_value,topK_miss_count,argmax_changed_flag,score_gap_norm_baseline,score_gap_rel_error,max_clip_rate,note
max_topK_miss_count,165,near_tie_close_sep,combined_int14,topK_miss_count,1,1,1,0.000516537609695235,0.0641496406007348,0,see trial CSV for full fields
argmax_changed_largest_baseline_gap,885,low_margin_score_gap,combined_int14,score_gap_norm_baseline,0.00169623357224643,0,1,0.00169623357224643,0.00937182209142602,0,see trial CSV for full fields
max_score_gap_rel_error,165,near_tie_close_sep,combined_int14,score_gap_rel_error,0.0641496406007348,1,1,0.000516537609695235,0.0641496406007348,0,see trial CSV for full fields
policy_changed_sample,NaN,,,same_policy_flag,NaN,NaN,0,NaN,NaN,NaN,no matching sample
max_clip_or_overflow_sample,45,strong_coherent,double_baseline,max_clip_rate,0,0,0,0.00117245653512235,0,0,see trial CSV for full fields
