trial_index,scenario_trial_index,rng_seed,gate_mode,backend_mode,scenario_name,SNR_dB,target_count,az_sep_deg,beta,rho,phase_deg,frontend_state,frontend_boundary_unreliable_flag,az_truth,el_truth,route_name,status,confidence,az_est,el_est,reject_reason,success,safe,false_high,false_split,boundary_missed,low_confidence,boundary_unreliable,out_of_scope_reject,az_error_mean,el_error_mean,az_error_max,el_error_max,eval_failure_reason,common_el_gate_mode_debug,common_el_proxy_flag,selected_common_el_gate_pass,rank1_without_common_el_gate_pass,rank1_refocus_consensus_gate_pass,rank1_refocus_pair_error_deg,rank1_refocus_pair_agree_tol_deg,low_cost_boundary_flag,boundary_unreliable_flag_debug,music_peak_count,music_peak_sep_deg,music_peak2_ratio,music_reliable_flag,music_failure_reason,refocus_route_reliable,refocus_score,refocus_score_gap,refocus_peak_sharpness,refocus_best_az_pair,common_el_proxy_failure_reason,rank1_route_reliable,rank1_score,rank1_score_gap,rank1_residual,rank1_best_az_pair,rank1_failure_reason,rank1_truth_az_error,refocus_truth_az_error,truth_pair_in_rank1_top1,truth_pair_in_rank1_top3,truth_pair_in_rank1_top5,truth_pair_in_refocus_top1,truth_pair_in_refocus_top3,truth_pair_in_refocus_top5,rank1_candidate_correct_but_rejected,refocus_candidate_correct_but_rejected,final_step87_route,final_confidence_flag,final_failure_reason,runtime_sec
11,4,916705,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.12 0.12],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.0449999999999875,0,0.0449999999999875,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,0,354345802.909454,0.0503958912797451,[-0.12 0.12],refocus_sharpness_below_proxy_gate,1,0,354345802.909454,0,[-0.12 0.12],ok,0.0449999999999875,0.0449999999999875,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.038903
12,4,916705,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.12 0.12],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.0449999999999875,0,0.0449999999999875,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,0,354345802.909454,0.0503958912797451,[-0.12 0.12],refocus_sharpness_below_proxy_gate,1,0,354345802.909454,0,[-0.12 0.12],ok,0.0449999999999875,0.0449999999999875,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0373167
13,5,916706,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,2.48109360317768e-08,13.1797893129233,0.0504858530188362,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,2.48109360317768e-08,13.1797893129233,2.48109360317768e-08,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2167525
14,5,916706,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,2.48109360317768e-08,13.1797893129233,0.0504858530188362,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,2.48109360317768e-08,13.1797893129233,2.48109360317768e-08,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.037667
15,5,916706,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,2.48109360317768e-08,13.1797893129233,0.0504858530188362,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,2.48109360317768e-08,13.1797893129233,2.48109360317768e-08,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0397996
16,6,916707,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,0,1039139449.51556,0.0501395100477197,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,0,1039139449.51556,0,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2253033
17,6,916707,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,0,1039139449.51556,0.0501395100477197,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,0,1039139449.51556,0,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.0351898
18,6,916707,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,0,1039139449.51556,0.0501395100477197,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,0,1039139449.51556,0,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0379736
19,7,916708,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.06331819327729e-06,0.00566870730200059,0.0505116258805256,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.06331819327729e-06,0.00566870730200059,1.06331819327729e-06,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2090704
20,7,916708,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.08 0.08],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.00499999999999545,0,0.00499999999999545,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.06331819327729e-06,0.00566870730200059,0.0505116258805256,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.06331819327729e-06,0.00566870730200059,1.06331819327729e-06,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.0342912
